theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
Blue Moon_II,bebopnet,1,0,54,0.592593,0.907407,6.750000,2.722340,11.000000,0.571429,0.485714,0.447368,0.408903
Blue Moon_II,bebopnet,1,1,65,0.200000,0.630769,8.125000,3.484403,20.000000,0.070175,0.050000,0.033333,0.277635
Blue Moon_II,bebopnet,1,2,140,0.385714,0.685714,17.500000,3.494339,22.000000,0.015625,0.000000,0.000000,0.317821
Blue Moon_II,bebopnet,1,3,120,0.350000,0.641667,15.000000,3.487657,17.000000,0.057692,0.017391,0.000000,0.421941
Blues A La Mode_II,cmt,0,0,29,0.275862,0.379310,3.625000,2.290042,17.000000,0.080000,0.000000,0.000000,0.414182
Blues A La Mode_II,cmt,1,0,30,0.333333,0.533333,3.750000,3.034197,12.000000,0.038462,0.000000,0.000000,0.366372
Blues A La Mode_II,mingus,0,0,37,0.351351,0.675676,4.625000,3.341361,14.000000,0.000000,0.000000,0.000000,0.172433
Blues A La Mode_II,mingus,1,0,28,0.321429,0.571429,3.500000,3.297903,21.000000,0.000000,0.000000,0.000000,0.414897
Blues A La Mode_II,bebopnet,0,0,60,0.333333,0.466667,7.500000,3.087303,14.000000,0.066667,0.041667,0.020833,0.322192
Blues A La Mode_II,bebopnet,1,0,69,0.347826,0.507246,8.625000,3.331064,14.000000,0.054545,0.035088,0.017544,0.276801
Blues on Sunday_III,cmt,0,0,40,0.550000,0.850000,5.000000,2.876121,17.000000,0.030303,0.000000,0.000000,0.301745
Blues on Sunday_III,cmt,0,1,54,0.314815,0.833333,6.750000,2.760875,10.000000,0.000000,0.000000,0.000000,0.315804
Blues on Sunday_III,cmt,0,2,53,0.358491,0.584906,6.625000,2.225126,5.000000,0.000000,0.000000,0.000000,0.351802
Blues on Sunday_III,cmt,1,0,24,0.625000,0.833333,3.000000,2.590200,10.000000,0.047619,0.000000,0.000000,0.374131
Blues on Sunday_III,cmt,1,1,50,0.180000,0.580000,6.250000,2.247403,7.000000,0.000000,0.000000,0.000000,0.465376
Blues on Sunday_III,cmt,1,2,34,0.264706,0.470588,4.250000,1.987460,3.000000,0.000000,0.000000,0.000000,0.303859
Blues on Sunday_III,mingus,0,0,40,0.475000,0.850000,5.000000,2.750266,10.000000,0.000000,0.000000,0.000000,0.448686
Blues on Sunday_III,mingus,0,1,35,0.457143,0.771429,4.375000,3.202828,27.000000,0.000000,0.000000,0.000000,0.324376
Blues on Sunday_III,mingus,1,0,22,0.409091,0.727273,2.750000,3.170135,18.000000,0.000000,0.000000,0.000000,0.131869
Blues on Sunday_III,mingus,1,1,20,0.450000,0.800000,2.500000,3.146439,21.000000,0.000000,0.000000,0.000000,0.203225
Blues on Sunday_III,bebopnet,0,0,51,0.274510,0.588235,6.375000,3.400380,20.000000,0.000000,0.000000,0.000000,0.594617
Blues on Sunday_III,bebopnet,1,0,145,0.358621,0.634483,18.125000,3.557225,25.000000,0.008065,0.000000,0.000000,0.516928
BluesInH_III,cmt,0,0,42,0.714286,0.714286,5.250000,3.218437,21.000000,0.000000,0.000000,0.000000,0.171405
BluesInH_III,cmt,1,0,25,0.720000,0.720000,3.125000,1.994303,6.000000,0.047619,0.000000,0.000000,0.488963
BluesInH_III,mingus,1,0,31,0.548387,0.548387,3.875000,3.317775,35.000000,0.000000,0.000000,0.000000,0.408515
BluesInH_III,bebopnet,0,0,70,0.614286,0.614286,8.750000,3.438541,18.000000,0.149254,0.106061,0.061538,0.324320
BluesInH_III,bebopnet,1,0,86,0.639535,0.639535,10.750000,3.383011,20.000000,0.155844,0.098765,0.049383,0.299155
BluesMarch_IV_Part-1,cmt,0,0,35,0.200000,0.485714,4.375000,2.909552,10.000000,0.062500,0.000000,0.000000,0.341398
BluesMarch_IV_Part-1,cmt,0,1,40,0.150000,0.375000,5.000000,2.891919,11.000000,0.000000,0.000000,0.000000,0.044811
BluesMarch_IV_Part-1,cmt,1,0,26,0.307692,0.461538,3.250000,2.907009,14.000000,0.086957,0.000000,0.000000,0.427755
